interpreter.interpret,0.019
interpreter.interpret,0.023
interpreter.interpret,0.019
interpreter.interpret,0.024
interpreter.interpret,0.022
interpreter.interpret,0.019
interpreter.interpret,0.02
interpreter.interpret,0.019
interpreter.interpret,0.023
interpreter.interpret,0.021
icarus-verilog.compile_with_iverilog,0.038
icarus-verilog.simulate,0.03
icarus-verilog.compile_with_iverilog,0.039
icarus-verilog.simulate,0.042
icarus-verilog.compile_with_iverilog,0.039
icarus-verilog.simulate,0.029
icarus-verilog.compile_with_iverilog,0.037
icarus-verilog.simulate,0.03
icarus-verilog.compile_with_iverilog,0.036
icarus-verilog.simulate,0.03
icarus-verilog.compile_with_iverilog,0.037
icarus-verilog.simulate,0.045
icarus-verilog.compile_with_iverilog,0.038
icarus-verilog.simulate,0.043
icarus-verilog.compile_with_iverilog,0.036
icarus-verilog.simulate,0.045
icarus-verilog.compile_with_iverilog,0.038
icarus-verilog.simulate,0.044
icarus-verilog.compile_with_iverilog,0.039
icarus-verilog.simulate,0.043
verilog.compile_with_verilator,1.493
verilog.simulate,0.011
verilog.compile_with_verilator,1.489
verilog.simulate,0.011
verilog.compile_with_verilator,1.482
verilog.simulate,0.011
verilog.compile_with_verilator,1.49
verilog.simulate,0.011
verilog.compile_with_verilator,1.502
verilog.simulate,0.011
verilog.compile_with_verilator,1.499
verilog.simulate,0.012
verilog.compile_with_verilator,1.493
verilog.simulate,0.011
verilog.compile_with_verilator,1.5
verilog.simulate,0.011
verilog.compile_with_verilator,1.489
verilog.simulate,0.011
verilog.compile_with_verilator,1.478
verilog.simulate,0.011
