interpreter,interpret,0.039
interpreter,interpret,0.041
interpreter,interpret,0.038
interpreter,interpret,0.04
interpreter,interpret,0.037
interpreter,interpret,0.041
interpreter,interpret,0.041
interpreter,interpret,0.039
interpreter,interpret,0.04
interpreter,interpret,0.041
icarus-verilog,compile_with_iverilog,0.051
icarus-verilog,simulate,0.074
icarus-verilog,compile_with_iverilog,0.053
icarus-verilog,simulate,0.072
icarus-verilog,compile_with_iverilog,0.053
icarus-verilog,simulate,0.071
icarus-verilog,compile_with_iverilog,0.052
icarus-verilog,simulate,0.071
icarus-verilog,compile_with_iverilog,0.053
icarus-verilog,simulate,0.073
icarus-verilog,compile_with_iverilog,0.052
icarus-verilog,simulate,0.071
icarus-verilog,compile_with_iverilog,0.05
icarus-verilog,simulate,0.072
icarus-verilog,compile_with_iverilog,0.051
icarus-verilog,simulate,0.072
icarus-verilog,compile_with_iverilog,0.051
icarus-verilog,simulate,0.073
icarus-verilog,compile_with_iverilog,0.049
icarus-verilog,simulate,0.074
verilog,compile_with_verilator,1.878
verilog,simulate,0.015
verilog,compile_with_verilator,1.497
verilog,simulate,0.015
verilog,compile_with_verilator,1.501
verilog,simulate,0.015
verilog,compile_with_verilator,1.532
verilog,simulate,0.014
verilog,compile_with_verilator,1.482
verilog,simulate,0.015
verilog,compile_with_verilator,1.502
verilog,simulate,0.015
verilog,compile_with_verilator,1.488
verilog,simulate,0.015
verilog,compile_with_verilator,1.5
verilog,simulate,0.015
verilog,compile_with_verilator,1.492
verilog,simulate,0.015
verilog,compile_with_verilator,1.51
verilog,simulate,0.015
interpreter,interpret,0.04
interpreter,interpret,0.039
interpreter,interpret,0.04
interpreter,interpret,0.038
interpreter,interpret,0.039
interpreter,interpret,0.039
interpreter,interpret,0.038
interpreter,interpret,0.04
interpreter,interpret,0.039
interpreter,interpret,0.04
icarus-verilog,compile_with_iverilog,0.052
icarus-verilog,simulate,0.075
icarus-verilog,compile_with_iverilog,0.051
icarus-verilog,simulate,0.074
icarus-verilog,compile_with_iverilog,0.05
icarus-verilog,simulate,0.073
icarus-verilog,compile_with_iverilog,0.052
icarus-verilog,simulate,0.073
icarus-verilog,compile_with_iverilog,0.049
icarus-verilog,simulate,0.061
icarus-verilog,compile_with_iverilog,0.051
icarus-verilog,simulate,0.073
icarus-verilog,compile_with_iverilog,0.047
icarus-verilog,simulate,0.072
icarus-verilog,compile_with_iverilog,0.05
icarus-verilog,simulate,0.071
icarus-verilog,compile_with_iverilog,0.053
icarus-verilog,simulate,0.071
icarus-verilog,compile_with_iverilog,0.05
icarus-verilog,simulate,0.074
verilog,compile_with_verilator,1.496
verilog,simulate,0.015
verilog,compile_with_verilator,1.499
verilog,simulate,0.015
verilog,compile_with_verilator,1.515
verilog,simulate,0.016
verilog,compile_with_verilator,1.416
verilog,simulate,0.009
verilog,compile_with_verilator,1.396
verilog,simulate,0.015
verilog,compile_with_verilator,1.413
verilog,simulate,0.014
verilog,compile_with_verilator,1.41
verilog,simulate,0.015
verilog,compile_with_verilator,1.443
verilog,simulate,0.015
verilog,compile_with_verilator,1.418
verilog,simulate,0.015
verilog,compile_with_verilator,1.413
verilog,simulate,0.015
