interpreter.interpret,1568.57
interpreter.interpret,1559.859
interpreter.interpret,1562.861
interpreter.interpret,1953.397
interpreter.interpret,1626.66
icarus-verilog.compile_with_iverilog,0.327
icarus-verilog.simulate,14156.246
icarus-verilog.compile_with_iverilog,0.322
icarus-verilog.simulate,14575.871
icarus-verilog.compile_with_iverilog,0.322
icarus-verilog.simulate,14629.728
icarus-verilog.compile_with_iverilog,0.319
icarus-verilog.simulate,14210.535
icarus-verilog.compile_with_iverilog,0.325
icarus-verilog.simulate,14275.429
verilog.compile_with_verilator,20.997
verilog.simulate,542.205
verilog.compile_with_verilator,14.27
verilog.simulate,540.792
verilog.compile_with_verilator,14.025
verilog.simulate,542.428
verilog.compile_with_verilator,14.008
verilog.simulate,541.317
verilog.compile_with_verilator,13.992
verilog.simulate,545.129
