interpreter.interpret,0.168
interpreter.interpret,0.166
interpreter.interpret,0.164
interpreter.interpret,0.167
interpreter.interpret,0.165
interpreter.interpret,0.169
interpreter.interpret,0.162
interpreter.interpret,0.168
interpreter.interpret,0.167
interpreter.interpret,0.165
icarus-verilog.compile_with_iverilog,0.087
icarus-verilog.simulate,0.932
icarus-verilog.compile_with_iverilog,0.087
icarus-verilog.simulate,0.932
icarus-verilog.compile_with_iverilog,0.088
icarus-verilog.simulate,0.933
icarus-verilog.compile_with_iverilog,0.086
icarus-verilog.simulate,0.926
icarus-verilog.compile_with_iverilog,0.086
icarus-verilog.simulate,0.93
icarus-verilog.compile_with_iverilog,0.086
icarus-verilog.simulate,0.928
icarus-verilog.compile_with_iverilog,0.087
icarus-verilog.simulate,0.933
icarus-verilog.compile_with_iverilog,0.089
icarus-verilog.simulate,0.924
icarus-verilog.compile_with_iverilog,0.088
icarus-verilog.simulate,0.935
icarus-verilog.compile_with_iverilog,0.084
icarus-verilog.simulate,0.933
verilog.compile_with_verilator,4.786
verilog.simulate,0.063
verilog.compile_with_verilator,4.783
verilog.simulate,0.062
verilog.compile_with_verilator,4.797
verilog.simulate,0.06
verilog.compile_with_verilator,4.754
verilog.simulate,0.062
verilog.compile_with_verilator,4.754
verilog.simulate,0.061
verilog.compile_with_verilator,4.768
verilog.simulate,0.061
verilog.compile_with_verilator,4.777
verilog.simulate,0.062
verilog.compile_with_verilator,4.804
verilog.simulate,0.061
verilog.compile_with_verilator,4.763
verilog.simulate,0.061
verilog.compile_with_verilator,4.766
verilog.simulate,0.062
