interpreter.interpret,0.113
interpreter.interpret,0.115
interpreter.interpret,0.117
interpreter.interpret,0.115
interpreter.interpret,0.117
interpreter.interpret,0.114
interpreter.interpret,0.115
interpreter.interpret,0.114
interpreter.interpret,0.117
interpreter.interpret,0.114
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.372
icarus-verilog.compile_with_iverilog,0.047
icarus-verilog.simulate,0.379
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.381
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.383
icarus-verilog.compile_with_iverilog,0.048
icarus-verilog.simulate,0.372
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.38
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.38
icarus-verilog.compile_with_iverilog,0.048
icarus-verilog.simulate,0.378
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.385
icarus-verilog.compile_with_iverilog,0.049
icarus-verilog.simulate,0.383
verilog.compile_with_verilator,2.152
verilog.simulate,0.029
verilog.compile_with_verilator,2.157
verilog.simulate,0.03
verilog.compile_with_verilator,2.16
verilog.simulate,0.03
verilog.compile_with_verilator,2.163
verilog.simulate,0.03
verilog.compile_with_verilator,2.149
verilog.simulate,0.029
verilog.compile_with_verilator,2.168
verilog.simulate,0.029
verilog.compile_with_verilator,2.167
verilog.simulate,0.03
verilog.compile_with_verilator,2.153
verilog.simulate,0.028
verilog.compile_with_verilator,2.148
verilog.simulate,0.03
verilog.compile_with_verilator,2.176
verilog.simulate,0.029
