interpreter.interpret,0.026
interpreter.interpret,0.027
interpreter.interpret,0.029
interpreter.interpret,0.026
interpreter.interpret,0.028
interpreter.interpret,0.029
interpreter.interpret,0.029
interpreter.interpret,0.026
interpreter.interpret,0.029
interpreter.interpret,0.027
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.085
icarus-verilog.compile_with_iverilog,0.055
icarus-verilog.simulate,0.086
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.086
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.087
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.074
icarus-verilog.compile_with_iverilog,0.052
icarus-verilog.simulate,0.086
icarus-verilog.compile_with_iverilog,0.055
icarus-verilog.simulate,0.086
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.076
icarus-verilog.compile_with_iverilog,0.054
icarus-verilog.simulate,0.076
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.085
verilog.compile_with_verilator,2.226
verilog.simulate,0.016
verilog.compile_with_verilator,2.216
verilog.simulate,0.016
verilog.compile_with_verilator,2.206
verilog.simulate,0.016
verilog.compile_with_verilator,2.205
verilog.simulate,0.016
verilog.compile_with_verilator,2.237
verilog.simulate,0.016
verilog.compile_with_verilator,2.218
verilog.simulate,0.016
verilog.compile_with_verilator,2.225
verilog.simulate,0.016
verilog.compile_with_verilator,2.195
verilog.simulate,0.016
verilog.compile_with_verilator,2.197
verilog.simulate,0.016
verilog.compile_with_verilator,2.208
verilog.simulate,0.016
