interpreter.interpret,0.078
interpreter.interpret,0.08
interpreter.interpret,0.079
interpreter.interpret,0.078
interpreter.interpret,0.078
interpreter.interpret,0.079
interpreter.interpret,0.078
interpreter.interpret,0.081
interpreter.interpret,0.082
interpreter.interpret,0.079
icarus-verilog.compile_with_iverilog,8.841
icarus-verilog.simulate,5.567
icarus-verilog.compile_with_iverilog,8.788
icarus-verilog.simulate,5.55
icarus-verilog.compile_with_iverilog,8.957
icarus-verilog.simulate,5.594
icarus-verilog.compile_with_iverilog,8.8
icarus-verilog.simulate,5.563
icarus-verilog.compile_with_iverilog,8.913
icarus-verilog.simulate,5.6
icarus-verilog.compile_with_iverilog,8.829
icarus-verilog.simulate,5.568
icarus-verilog.compile_with_iverilog,8.915
icarus-verilog.simulate,5.57
icarus-verilog.compile_with_iverilog,8.805
icarus-verilog.simulate,5.583
icarus-verilog.compile_with_iverilog,8.905
icarus-verilog.simulate,5.563
icarus-verilog.compile_with_iverilog,8.8
icarus-verilog.simulate,5.562
verilog.compile_with_verilator,141.694
verilog.simulate,0.088
verilog.compile_with_verilator,141.321
verilog.simulate,0.087
verilog.compile_with_verilator,141.469
verilog.simulate,0.088
verilog.compile_with_verilator,141.607
verilog.simulate,0.086
verilog.compile_with_verilator,141.589
verilog.simulate,0.087
verilog.compile_with_verilator,140.746
verilog.simulate,0.086
verilog.compile_with_verilator,141.203
verilog.simulate,0.087
verilog.compile_with_verilator,141.92
verilog.simulate,0.088
verilog.compile_with_verilator,140.593
verilog.simulate,0.087
verilog.compile_with_verilator,141.161
verilog.simulate,0.087
