interpreter.interpret,0.04
interpreter.interpret,0.038
interpreter.interpret,0.04
interpreter.interpret,0.04
interpreter.interpret,0.038
interpreter.interpret,0.043
interpreter.interpret,0.039
interpreter.interpret,0.041
interpreter.interpret,0.038
interpreter.interpret,0.04
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.116
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.119
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.117
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.116
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.118
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.117
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.116
verilog.compile_with_verilator,1.821
verilog.simulate,0.02
verilog.compile_with_verilator,1.885
verilog.simulate,0.019
verilog.compile_with_verilator,1.816
verilog.simulate,0.019
verilog.compile_with_verilator,1.8
verilog.simulate,0.018
verilog.compile_with_verilator,1.887
verilog.simulate,0.019
verilog.compile_with_verilator,1.834
verilog.simulate,0.019
verilog.compile_with_verilator,1.897
verilog.simulate,0.02
verilog.compile_with_verilator,1.856
verilog.simulate,0.019
verilog.compile_with_verilator,1.828
verilog.simulate,0.021
verilog.compile_with_verilator,1.83
verilog.simulate,0.02
