interpreter.interpret,0.04
interpreter.interpret,0.043
interpreter.interpret,0.042
interpreter.interpret,0.04
interpreter.interpret,0.04
interpreter.interpret,0.04
interpreter.interpret,0.04
interpreter.interpret,0.037
interpreter.interpret,0.039
interpreter.interpret,0.038
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.117
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.117
icarus-verilog.compile_with_iverilog,0.054
icarus-verilog.simulate,0.108
icarus-verilog.compile_with_iverilog,0.051
icarus-verilog.simulate,0.104
icarus-verilog.compile_with_iverilog,0.052
icarus-verilog.simulate,0.118
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.118
icarus-verilog.compile_with_iverilog,0.052
icarus-verilog.simulate,0.107
icarus-verilog.compile_with_iverilog,0.052
icarus-verilog.simulate,0.116
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.118
icarus-verilog.compile_with_iverilog,0.053
icarus-verilog.simulate,0.106
verilog.compile_with_verilator,2.369
verilog.simulate,0.021
verilog.compile_with_verilator,2.367
verilog.simulate,0.019
verilog.compile_with_verilator,2.384
verilog.simulate,0.02
verilog.compile_with_verilator,2.358
verilog.simulate,0.019
verilog.compile_with_verilator,2.4
verilog.simulate,0.021
verilog.compile_with_verilator,2.358
verilog.simulate,0.019
verilog.compile_with_verilator,2.369
verilog.simulate,0.02
verilog.compile_with_verilator,2.388
verilog.simulate,0.02
verilog.compile_with_verilator,2.36
verilog.simulate,0.021
verilog.compile_with_verilator,2.372
verilog.simulate,0.019
