interpreter.interpret,0.064
interpreter.interpret,0.062
interpreter.interpret,0.063
interpreter.interpret,0.064
interpreter.interpret,0.066
interpreter.interpret,0.063
interpreter.interpret,0.064
interpreter.interpret,0.062
interpreter.interpret,0.063
interpreter.interpret,0.066
icarus-verilog.compile_with_iverilog,0.039
icarus-verilog.simulate,0.139
icarus-verilog.compile_with_iverilog,0.039
icarus-verilog.simulate,0.127
icarus-verilog.compile_with_iverilog,0.038
icarus-verilog.simulate,0.141
icarus-verilog.compile_with_iverilog,0.041
icarus-verilog.simulate,0.141
icarus-verilog.compile_with_iverilog,0.04
icarus-verilog.simulate,0.127
icarus-verilog.compile_with_iverilog,0.038
icarus-verilog.simulate,0.129
icarus-verilog.compile_with_iverilog,0.04
icarus-verilog.simulate,0.141
icarus-verilog.compile_with_iverilog,0.04
icarus-verilog.simulate,0.138
icarus-verilog.compile_with_iverilog,0.041
icarus-verilog.simulate,0.141
icarus-verilog.compile_with_iverilog,0.04
icarus-verilog.simulate,0.14
verilog.compile_with_verilator,1.594
verilog.simulate,0.019
verilog.compile_with_verilator,1.572
verilog.simulate,0.018
verilog.compile_with_verilator,1.584
verilog.simulate,0.018
verilog.compile_with_verilator,1.612
verilog.simulate,0.018
verilog.compile_with_verilator,1.581
verilog.simulate,0.018
verilog.compile_with_verilator,1.602
verilog.simulate,0.018
verilog.compile_with_verilator,1.595
verilog.simulate,0.018
verilog.compile_with_verilator,1.58
verilog.simulate,0.019
verilog.compile_with_verilator,1.588
verilog.simulate,0.019
verilog.compile_with_verilator,1.593
verilog.simulate,0.018
