interpreter.interpret,0.077
interpreter.interpret,0.065
interpreter.interpret,0.067
interpreter.interpret,0.063
interpreter.interpret,0.077
interpreter.interpret,0.077
interpreter.interpret,0.061
interpreter.interpret,0.076
interpreter.interpret,0.078
interpreter.interpret,0.076
icarus-verilog.compile_with_iverilog,6.945
icarus-verilog.simulate,4.268
icarus-verilog.compile_with_iverilog,7.129
icarus-verilog.simulate,4.28
icarus-verilog.compile_with_iverilog,6.97
icarus-verilog.simulate,4.266
icarus-verilog.compile_with_iverilog,7.14
icarus-verilog.simulate,4.27
icarus-verilog.compile_with_iverilog,7.16
icarus-verilog.simulate,4.263
icarus-verilog.compile_with_iverilog,7.153
icarus-verilog.simulate,4.271
icarus-verilog.compile_with_iverilog,7.144
icarus-verilog.simulate,4.267
icarus-verilog.compile_with_iverilog,7.153
icarus-verilog.simulate,4.27
icarus-verilog.compile_with_iverilog,7.133
icarus-verilog.simulate,4.271
icarus-verilog.compile_with_iverilog,7.153
icarus-verilog.simulate,4.26
verilog.compile_with_verilator,245.109
verilog.simulate,0.045
verilog.compile_with_verilator,157.852
verilog.simulate,0.056
verilog.compile_with_verilator,160.835
verilog.simulate,0.056
verilog.compile_with_verilator,158.039
verilog.simulate,0.046
verilog.compile_with_verilator,159.484
verilog.simulate,0.046
verilog.compile_with_verilator,158.732
verilog.simulate,0.057
verilog.compile_with_verilator,159.731
verilog.simulate,0.058
verilog.compile_with_verilator,159.365
verilog.simulate,0.056
verilog.compile_with_verilator,159.798
verilog.simulate,0.056
verilog.compile_with_verilator,158.188
verilog.simulate,0.055
