interpreter.interpret,0.039
interpreter.interpret,0.037
interpreter.interpret,0.041
interpreter.interpret,0.037
interpreter.interpret,0.04
interpreter.interpret,0.045
interpreter.interpret,0.036
interpreter.interpret,0.043
interpreter.interpret,0.041
interpreter.interpret,0.037
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.101
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.114
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.046
icarus-verilog.simulate,0.116
icarus-verilog.compile_with_iverilog,0.047
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.114
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.115
icarus-verilog.compile_with_iverilog,0.045
icarus-verilog.simulate,0.116
icarus-verilog.compile_with_iverilog,0.044
icarus-verilog.simulate,0.103
icarus-verilog.compile_with_iverilog,0.043
icarus-verilog.simulate,0.114
verilog.compile_with_verilator,1.918
verilog.simulate,0.019
verilog.compile_with_verilator,1.93
verilog.simulate,0.019
verilog.compile_with_verilator,1.926
verilog.simulate,0.019
verilog.compile_with_verilator,1.934
verilog.simulate,0.018
verilog.compile_with_verilator,1.938
verilog.simulate,0.017
verilog.compile_with_verilator,1.932
verilog.simulate,0.019
verilog.compile_with_verilator,1.934
verilog.simulate,0.019
verilog.compile_with_verilator,1.952
verilog.simulate,0.018
verilog.compile_with_verilator,1.906
verilog.simulate,0.019
verilog.compile_with_verilator,1.928
verilog.simulate,0.017
