interpreter.interpret,0.16
interpreter.interpret,0.168
interpreter.interpret,0.164
interpreter.interpret,0.169
interpreter.interpret,0.161
interpreter.interpret,0.159
interpreter.interpret,0.164
interpreter.interpret,0.16
interpreter.interpret,0.161
interpreter.interpret,0.165
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.581
icarus-verilog.compile_with_iverilog,0.059
icarus-verilog.simulate,0.573
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.581
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.581
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.582
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.571
icarus-verilog.compile_with_iverilog,0.057
icarus-verilog.simulate,0.584
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.583
icarus-verilog.compile_with_iverilog,0.058
icarus-verilog.simulate,0.572
icarus-verilog.compile_with_iverilog,0.056
icarus-verilog.simulate,0.583
verilog.compile_with_verilator,2.652
verilog.simulate,0.041
verilog.compile_with_verilator,2.693
verilog.simulate,0.041
verilog.compile_with_verilator,2.663
verilog.simulate,0.041
verilog.compile_with_verilator,2.682
verilog.simulate,0.039
verilog.compile_with_verilator,2.652
verilog.simulate,0.04
verilog.compile_with_verilator,2.671
verilog.simulate,0.038
verilog.compile_with_verilator,2.645
verilog.simulate,0.041
verilog.compile_with_verilator,2.664
verilog.simulate,0.039
verilog.compile_with_verilator,2.653
verilog.simulate,0.039
verilog.compile_with_verilator,2.645
verilog.simulate,0.041
